variable,wave_number,wave_x,months,wave_date
cov_month_1,W5,5,1/1/20,6/28/20
cov_month_2,W5,5,2/1/20,6/28/20
cov_month_3,W5,5,3/1/20,6/28/20
cov_month_4,W5,5,4/1/20,6/28/20
cov_month_5,W5,5,5/1/20,6/28/20
cov_month_6,W9,9,6/1/20,8/26/20
cov_month_7,W9,9,7/1/20,8/26/20
cov_month_8,W10,10,8/1/20,9/30/20
cov_month_9,W11,11,9/1/20,10/23/20
cov_month_10,W13,13,10/1/20,11/30/20
cov_month_11,W14,14,11/1/20,1/14/21
cov_month_12,W16,16,12/1/20,2/28/21
cov_month_13,W16,16,1/1/21,2/28/21
cov_month_14,W17,17,2/1/21,5/3/21
cov_month_15,W17,17,3/1/21,5/3/21
cov_month_16,W18,18,4/1/21,7/15/21
cov_month_17,W18,18,5/1/21,7/15/21
cov_month_18,W19,19,6/1/21,9/30/21
cov_month_19,W19,19,7/1/21,9/30/21
cov_month_20,W19,19,8/1/21,9/30/21
cov_month_21,W20,20,9/1/21,12/2/21
cov_month_22,W20,20,10/1/21,12/2/21
cov_month_23,W21,21,11/1/21,1/29/22
cov_month_24,W22,22,12/1/21,3/28/22
cov_month_25,W22,22,1/1/22,3/28/22
cov_month_26,W22,22,2/1/22,3/28/22
cov_month_27,W23,23,3/1/22,7/8/22
cov_month_28,W23,23,4/1/22,7/8/22
cov_month_29,W23,23,5/1/22,7/8/22
cov_month_30,W24,24,6/1/22,9/11/22
cov_month_31,W24,24,7/1/22,9/11/22
cov_month_32,W25,25,8/1/22,10/29/22
cov_month_33,W25,25,9/1/22,10/29/22
cov_month_34,W26,26,10/1/22,1/17/23
cov_month_35,W26,26,11/1/22,1/17/23
cov_month_36,W26,26,12/1/22,1/17/23